fitnessCallNoOverall,fitnessCallNoByClusterGroup,dependentClusterGroup,searchStepName,iterationNumber,generationNumber,computedFitnessScore,computedInconsistenciesObjectiveScore,computedAestheticObjectiveScore
1,1,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
2,2,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
3,3,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
4,4,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
5,5,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
6,6,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
7,7,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
8,8,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
9,9,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
10,10,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1115.9994031696629,1115.0,533.3333333333334
11,11,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9996927511705,895.0,1036.0
12,12,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
13,13,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
14,14,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9995648928367,895.0,731.5661859834024
15,15,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
16,16,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
17,17,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
18,18,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
19,19,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
20,20,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
21,21,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
22,22,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9996854646417,895.0,1012.0
23,23,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
24,24,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.910000099895805E7,1000000.0,305.4937571541897
25,25,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
26,26,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
27,27,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9996903601306,866.0,1028.0
28,28,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
29,29,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
30,30,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
31,31,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
32,32,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
33,33,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
34,34,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
35,35,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
36,36,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
37,37,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999361925E7,1000000.0,498.8589455723208
38,38,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999890987E7,1000000.0,2919.9082605456856
39,39,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9977300426954,895.0,140.2248798291839
40,40,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
41,41,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
42,42,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
43,43,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
44,44,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,817.9987398967263,817.0,252.60486978977625
45,45,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
46,46,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
47,47,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9976809804613,895.0,137.25811670801426
48,48,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9980901636008,835.0,166.66666666666663
49,49,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
50,50,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
51,51,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
52,52,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
53,53,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,837.9900560521764,837.0,32.0
54,54,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999837425E7,1000000.0,1957.9090308295972
55,55,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999198362E7,1000000.0,397.0727208769478
56,56,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
57,57,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
58,58,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
59,59,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
60,60,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
61,61,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
62,62,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
63,63,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
64,64,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
65,65,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1471.9993618433537,1471.0,498.7951807228918
66,66,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999756653E7,1000000.0,1308.045977011494
67,67,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
68,68,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,912.9892745142157,912.0,29.666666666666664
69,69,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
70,70,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
71,71,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.996614124496,1015.0,94.00755594303982
72,72,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999631252E7,1000000.0,863.2211135630628
73,73,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,796.9990450732063,796.0,333.33333333333326
74,74,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9996927511705,895.0,1036.0
75,75,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,953.9997344528174,953.0,1198.693992018121
76,76,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999599572E7,1000000.0,794.9209576104251
77,77,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
78,78,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000997054026E7,1000000.0,108.04597701149424
79,79,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999332253E7,1000000.0,476.6922261116152
80,80,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
81,81,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
82,82,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
83,83,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999456566E7,1000000.0,585.7381170258643
