inconsistenciesObjective,aestheticObjective
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
1015.0,162.637
835.0,333.333
895.0,108.046
895.0,0.0
895.0,0.0
895.0,0.0
1000000.0,97.902
866.0,16.0
895.0,260.241
895.0,0.0
895.0,0.0
895.0,0.0
1000000.0,907.94
1000000.0,581.743
1075.0,141.011
895.0,0.0
895.0,0.0
1015.0,162.637
895.0,0.0
835.0,333.333
866.0,16.0
895.0,108.046
1015.0,162.637
835.0,166.667
1000000.0,823.549
895.0,1308.046
866.0,16.0
895.0,108.046
895.0,0.0
895.0,0.0
862.0,1163.71
1135.0,188.015
2061.0,680.078
1000000.0,189.913
895.0,0.0
835.0,333.333
1015.0,162.637
895.0,1200.0
2649.0,1051.322
895.0,0.0
1015.0,162.637
895.0,0.0
866.0,16.0
895.0,0.0
1005.0,266.667
895.0,600.0
835.0,333.333
895.0,0.0
955.0,115.633
895.0,0.0
1016.0,110.008
866.0,16.0
1015.0,866.922
866.0,16.0
1015.0,184.323
835.0,406.667
866.0,16.0
60848.0,1729.503
895.0,697.902
1015.0,162.637
1015.0,162.637
895.0,0.0
1015.0,162.637
895.0,0.0
146273.0,1841.428
895.0,0.0
866.0,16.0
1000000.0,1915.6
895.0,0.0
895.0,1024.0
895.0,0.0
895.0,0.0
1000000.0,811.026
895.0,0.0
1060.0,400.0
895.0,108.046
866.0,340.138
895.0,0.0
866.0,16.0
895.0,108.046
895.0,108.046
1015.0,162.637
895.0,0.0
895.0,0.0
895.0,0.0
895.0,1012.0
895.0,108.046
895.0,108.046
895.0,0.0
895.0,0.0
866.0,16.0
895.0,704.286
866.0,16.0
895.0,0.0
1015.0,162.637
895.0,0.0
895.0,0.0
835.0,2966.667
829.0,2966.667
817.0,2966.667
793.0,2966.667
745.0,2966.667
649.0,2966.667
457.0,2966.667
1170.0,2966.667
463.0,2966.667
451.0,2966.667
439.0,2966.667
415.0,2966.667
376.0,2966.667
526.0,2966.667
376.0,2966.667
376.0,2966.667
835.0,2966.667
835.0,2966.667
1000000.0,215.188
823.0,215.188
799.0,312.231
751.0,506.317
655.0,894.49
32845.0,1675.834
667.0,845.968
643.0,943.011
619.0,1040.054
571.0,1234.14
32985.0,1623.563
583.0,1185.619
559.0,1282.662
535.0,1379.705
487.0,1573.791
114987.0,2010.713
499.0,1525.269
32985.0,1623.563
856.0,446.667
1000000.0,446.667
1000000.0,215.618
835.0,215.618
835.0,188.353
835.0,188.353
835.0,2966.667
835.0,2966.667
835.0,3166.667
835.0,3166.667
835.0,3166.667
835.0,3166.667
1000000.0,187.452
891.0,187.452
835.0,766.667
1000000.0,766.667
1000000.0,204.056
835.0,204.056
835.0,3166.667
857.0,3166.667
835.0,3166.667
835.0,3166.667
835.0,1166.667
821.0,1166.667
793.0,1166.667
459.0,1166.667
459.0,1166.667
751.0,1166.667
459.0,1166.667
887.0,1166.667
821.0,1166.667
793.0,1166.667
459.0,1166.667
459.0,1166.667
751.0,1166.667
459.0,1166.667
1000000.0,194.712
835.0,194.712
886.0,300.0
1000000.0,300.0
1000000.0,253.623
835.0,253.623
835.0,1166.667
835.0,1166.667
835.0,1166.667
835.0,1166.667
806.0,182.667
748.0,214.667
758.0,278.667
459.0,230.667
769.0,262.667
459.0,246.667
748.0,214.667
808.0,1166.667
754.0,1166.667
483.0,1166.667
577.0,1166.667
495.0,1166.667
471.0,1166.667
459.0,1166.667
835.0,166.667
459.0,1166.667
754.0,1166.667
1000000.0,213.67
955.0,213.67
796.0,333.333
459.0,666.667
459.0,1333.333
459.0,833.333
745.0,500.0
1000000.0,274.713
835.0,274.713
835.0,870.952
835.0,870.952
835.0,1166.667
835.0,1166.667
835.0,1166.667
864.0,1166.667
810.0,1166.667
760.0,1166.667
487.0,1166.667
469.0,1166.667
459.0,1166.667
481.0,1166.667
475.0,1166.667
835.0,166.667
479.0,1166.667
760.0,1166.667
1000000.0,235.296
835.0,235.296
835.0,333.333
1000000.0,333.333
1000000.0,309.524
835.0,309.524
835.0,1166.667
835.0,1166.667
835.0,1166.667
835.0,1166.667
852.0,196.333
818.0,196.333
784.0,255.667
459.0,374.333
459.0,611.667
459.0,344.667
767.0,285.333
750.0,315.0
459.0,374.333
881.0,2366.667
817.0,2366.667
781.0,2366.667
459.0,2366.667
459.0,2366.667
459.0,2366.667
459.0,2366.667
1000000.0,214.453
869.0,214.853
835.0,573.333
1000000.0,573.333
1000000.0,455.693
835.0,455.693
835.0,2168.333
835.0,2168.333
835.0,1178.667
835.0,1178.667
1000000.0,584.379
924.0,340.138
895.0,0.0
866.0,16.0
1015.0,162.637
1000000.0,823.549
866.0,16.0
895.0,0.0
895.0,1200.0
835.0,406.667
908.0,576.0
955.0,115.633
1000000.0,388.172
895.0,108.046
895.0,0.0
895.0,0.0
1015.0,162.637
895.0,1308.046
1000000.0,1282.346
895.0,1308.046
1005.0,266.667
895.0,0.0
146273.0,1841.428
895.0,1132.046
1005.0,266.667
1016.0,110.008
835.0,166.667
1015.0,184.323
1000000.0,859.966
895.0,0.0
1000000.0,823.549
835.0,333.333
1000000.0,1532.983
955.0,115.633
1015.0,162.637
1032.0,192.303
2013.0,874.164
895.0,0.0
775.0,593.261
1015.0,866.922
1015.0,184.323
1000000.0,2206.729
866.0,16.0
866.0,16.0
1000000.0,127.569
139720.0,1616.853
895.0,1024.0
1000000.0,852.822
895.0,0.0
895.0,260.241
1015.0,184.323
895.0,1200.0
60848.0,1729.503
895.0,1012.0
5555.0,1977.013
866.0,616.0
1000000.0,581.743
895.0,0.0
1015.0,162.637
1000000.0,581.743
1000000.0,238.931
835.0,333.333
866.0,16.0
1015.0,162.637
895.0,108.046
1015.0,162.637
60412.0,2098.808
895.0,0.0
1000000.0,428.571
1000000.0,3287.378
1005.0,266.667
1000000.0,1541.793
895.0,0.0
895.0,584.379
864.0,349.333
2061.0,680.078
895.0,0.0
895.0,0.0
1000000.0,189.913
1060.0,400.0
1000000.0,798.611
1000000.0,843.925
1195.0,343.065
1000000.0,670.743
6284.0,1142.859
895.0,0.0
866.0,16.0
912.0,137.713
895.0,1012.0
866.0,361.825
878.0,224.46
920.0,552.455
895.0,0.0
895.0,600.0
895.0,0.0
1135.0,188.015
895.0,0.0
1000000.0,889.563
1135.0,188.015
1033.0,528.421
376.0,2966.667
376.0,2966.667
376.0,5766.667
376.0,5766.667
1000000.0,3015.188
5035.0,3015.188
388.0,3246.667
1000000.0,3246.667
1000000.0,3015.618
418.0,3015.618
376.0,2988.353
376.0,2988.353
376.0,5766.667
376.0,5766.667
376.0,5966.667
376.0,5966.667
376.0,5966.667
376.0,5966.667
1000000.0,2987.452
432.0,2987.452
376.0,3566.667
1000000.0,3566.667
1000000.0,3004.056
376.0,3004.056
376.0,5966.667
408.0,5966.667
376.0,5966.667
376.0,5966.667
376.0,3966.667
362.0,3966.667
334.0,3966.667
0.0,3966.667
0.0,3966.667
292.0,3966.667
0.0,3966.667
428.0,3966.667
362.0,3966.667
334.0,3966.667
0.0,3966.667
0.0,3966.667
292.0,3966.667
0.0,3966.667
1000000.0,2994.712
376.0,2994.712
427.0,3100.0
1000000.0,3100.0
1000000.0,3053.623
376.0,3053.623
376.0,3966.667
376.0,3966.667
376.0,3966.667
376.0,3966.667
347.0,2982.667
289.0,3014.667
299.0,3078.667
0.0,3030.667
310.0,3062.667
0.0,3046.667
289.0,3014.667
349.0,3966.667
295.0,3966.667
24.0,3966.667
118.0,3966.667
36.0,3966.667
12.0,3966.667
0.0,3966.667
376.0,2966.667
0.0,3966.667
295.0,3966.667
1000000.0,3013.67
496.0,3013.67
337.0,3133.333
0.0,3466.667
0.0,4133.333
0.0,3633.333
286.0,3300.0
1000000.0,3074.713
376.0,3074.713
376.0,3670.952
376.0,3670.952
376.0,3966.667
376.0,3966.667
376.0,3966.667
405.0,3966.667
351.0,3966.667
301.0,3966.667
28.0,3966.667
10.0,3966.667
0.0,3966.667
22.0,3966.667
16.0,3966.667
376.0,2966.667
20.0,3966.667
301.0,3966.667
1000000.0,3035.296
376.0,3035.296
376.0,3133.333
1000000.0,3133.333
1000000.0,3109.524
376.0,3109.524
376.0,3966.667
376.0,3966.667
376.0,3966.667
376.0,3966.667
393.0,2996.333
359.0,2996.333
325.0,3055.667
0.0,3174.333
0.0,3411.667
0.0,3144.667
308.0,3085.333
291.0,3115.0
0.0,3174.333
422.0,5166.667
358.0,5166.667
322.0,5166.667
0.0,5166.667
0.0,5166.667
0.0,5166.667
0.0,5166.667
1000000.0,3014.453
410.0,3014.853
376.0,3373.333
1000000.0,3373.333
1000000.0,3255.693
376.0,3255.693
376.0,4968.333
376.0,4968.333
376.0,3978.667
376.0,3978.667
459.0,230.667
835.0,333.333
895.0,0.0
459.0,944.667
1011.0,64.0
895.0,0.0
895.0,0.0
866.0,16.0
866.0,16.0
1000000.0,285.714
835.0,333.333
835.0,406.667
895.0,0.0
1000000.0,1236.36
459.0,1428.395
835.0,333.333
1000000.0,2427.891
133206.0,1005.088
895.0,0.0
1000000.0,470.038
895.0,0.0
895.0,0.0
895.0,0.0
866.0,448.572
866.0,905.027
895.0,0.0
459.0,344.667
895.0,521.739
1000000.0,298.023
895.0,0.0
895.0,0.0
1000000.0,146.853
895.0,704.286
866.0,16.0
908.0,576.0
895.0,529.354
835.0,166.667
895.0,0.0
835.0,166.667
1000000.0,470.038
1015.0,94.008
779.0,64.0
1000000.0,504.569
912.0,29.667
866.0,16.0
1000000.0,543.925
895.0,0.0
866.0,16.0
895.0,0.0
459.0,666.667
895.0,0.0
946.0,133.333
835.0,870.952
459.0,1166.667
796.0,813.333
895.0,0.0
866.0,16.0
895.0,0.0
895.0,0.0
895.0,0.0
958.0,840.0
459.0,1166.667
837.0,32.0
835.0,406.667
866.0,16.0
895.0,0.0
895.0,0.0
1000000.0,108.046
866.0,16.0
866.0,720.286
866.0,16.0
866.0,16.0
866.0,189.913
866.0,16.0
895.0,0.0
832.0,75.333
895.0,0.0
1000000.0,216.092
835.0,333.333
835.0,870.952
895.0,0.0
866.0,16.0
112460.0,2288.697
459.0,1370.952
835.0,406.667
862.0,1163.71
866.0,16.0
895.0,0.0
878.0,29.667
1000000.0,498.893
866.0,16.0
835.0,406.667
895.0,0.0
895.0,0.0
1000000.0,1288.362
866.0,16.0
1000000.0,1258.444
895.0,0.0
835.0,333.333
895.0,0.0
0.0,3030.667
0.0,3030.667
0.0,5830.667
0.0,5830.667
1000000.0,3079.188
4659.0,3079.188
12.0,3310.667
1000000.0,3310.667
1000000.0,3079.618
42.0,3079.618
0.0,3052.353
0.0,3052.353
0.0,5830.667
0.0,5830.667
0.0,6030.667
0.0,6030.667
0.0,6030.667
0.0,6030.667
1000000.0,3051.452
56.0,3051.452
0.0,3630.667
1000000.0,3630.667
1000000.0,3068.056
0.0,3068.056
0.0,6030.667
32.0,6030.667
0.0,6030.667
0.0,6030.667
0.0,4030.667
0.0,4030.667
60.0,4030.667
0.0,4030.667
1000000.0,3058.712
0.0,3058.712
311.0,3164.0
1000000.0,3164.0
1000000.0,3117.623
0.0,3117.623
0.0,4030.667
0.0,4030.667
0.0,4030.667
0.0,4030.667
0.0,3046.667
289.0,3014.667
0.0,4030.667
287.0,4030.667
1000000.0,3077.67
500.0,3077.67
0.0,3197.333
320.0,2864.0
1000000.0,3138.713
0.0,3138.713
0.0,3734.952
0.0,3734.952
0.0,4030.667
0.0,4030.667
0.0,4030.667
289.0,4030.667
4.0,4030.667
289.0,4030.667
1000000.0,3099.296
0.0,3099.296
0.0,3197.333
1000000.0,3197.333
1000000.0,3173.524
0.0,3173.524
0.0,4030.667
0.0,4030.667
0.0,4030.667
0.0,4030.667
277.0,3060.333
0.0,3060.333
306.0,5230.667
0.0,5230.667
1000000.0,3078.453
342.0,3078.853
0.0,3437.333
1000000.0,3437.333
1000000.0,3319.693
0.0,3319.693
0.0,5032.333
0.0,5032.333
0.0,4042.667
0.0,4042.667
1000000.0,153.258
0.0,3530.667
866.0,16.0
12078.0,1509.775
866.0,16.0
866.0,16.0
866.0,16.0
866.0,361.825
680.0,1468.61
835.0,1411.182
459.0,1428.395
459.0,1166.667
866.0,16.0
866.0,16.0
866.0,16.0
866.0,16.0
835.0,333.333
777.0,198.667
1000000.0,1205.576
835.0,333.333
835.0,166.667
835.0,333.333
835.0,406.667
475.0,1166.667
1000000.0,956.19
835.0,406.667
866.0,1160.046
864.0,349.333
459.0,666.667
866.0,16.0
0.0,3466.667
832.0,1264.453
806.0,422.667
459.0,1862.13
976.0,527.422
866.0,296.45
459.0,2178.667
459.0,666.667
459.0,944.667
835.0,1392.272
1000000.0,2267.445
961.0,2013.333
459.0,2366.667
866.0,1040.0
835.0,333.333
866.0,16.0
917.0,149.333
376.0,2966.667
0.0,5421.221
1000000.0,439.034
866.0,448.572
866.0,189.913
866.0,16.0
835.0,333.333
832.0,503.905
835.0,333.333
866.0,16.0
835.0,406.667
835.0,166.667
835.0,333.333
832.0,75.333
866.0,16.0
1000000.0,4050.802
835.0,333.333
866.0,16.0
159015.0,3711.586
459.0,666.667
1000000.0,2920.38
835.0,406.667
866.0,16.0
866.0,16.0
866.0,720.286
0.0,3030.667
835.0,870.952
866.0,720.286
866.0,16.0
866.0,16.0
866.0,16.0
878.0,224.46
866.0,16.0
1000000.0,204.056
866.0,189.913
459.0,2045.06
775.0,593.261
835.0,1888.594
1000000.0,858.779
1000000.0,649.274
866.0,16.0
1000000.0,398.759
459.0,666.667
866.0,16.0
835.0,406.667
866.0,905.027
866.0,16.0
6723.0,1917.868
866.0,16.0
767.0,349.333
459.0,511.333
459.0,1004.0
1593.0,709.364
0.0,3030.667
0.0,3030.667
0.0,5830.667
0.0,5830.667
1000000.0,3079.188
4659.0,3079.188
12.0,3310.667
1000000.0,3310.667
1000000.0,3079.618
42.0,3079.618
0.0,3052.353
0.0,3052.353
0.0,5830.667
0.0,5830.667
0.0,6030.667
0.0,6030.667
0.0,6030.667
0.0,6030.667
1000000.0,3051.452
56.0,3051.452
0.0,3630.667
1000000.0,3630.667
1000000.0,3068.056
0.0,3068.056
0.0,6030.667
32.0,6030.667
0.0,6030.667
0.0,6030.667
0.0,4030.667
0.0,4030.667
60.0,4030.667
0.0,4030.667
1000000.0,3058.712
0.0,3058.712
311.0,3164.0
1000000.0,3164.0
1000000.0,3117.623
0.0,3117.623
0.0,4030.667
0.0,4030.667
0.0,4030.667
0.0,4030.667
