inconsistenciesObjective,aestheticObjective
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
1015.0,162.637
835.0,333.333
895.0,108.046
895.0,0.0
895.0,0.0
1000000.0,714.705
1015.0,162.637
1000000.0,836.304
806.0,349.333
835.0,333.333
1015.0,162.637
895.0,0.0
895.0,0.0
1000000.0,141.011
895.0,0.0
895.0,0.0
835.0,333.333
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
1000000.0,1877.018
953.0,32.0
895.0,108.046
1015.0,162.637
895.0,0.0
835.0,333.333
835.0,333.333
895.0,0.0
895.0,704.286
912.0,137.713
895.0,0.0
835.0,333.333
1015.0,162.637
895.0,108.046
835.0,333.333
866.0,16.0
866.0,16.0
866.0,16.0
895.0,0.0
1000000.0,216.092
922.0,381.333
895.0,0.0
895.0,0.0
835.0,333.333
866.0,16.0
1000000.0,648.276
1000000.0,554.245
459.0,1260.455
895.0,0.0
895.0,0.0
1135.0,188.015
895.0,0.0
1000000.0,899.755
895.0,346.988
895.0,0.0
1000000.0,451.579
895.0,0.0
895.0,0.0
1000000.0,676.323
835.0,333.333
866.0,16.0
869.0,381.52
895.0,0.0
1023.0,336.508
895.0,0.0
895.0,86.957
895.0,0.0
1000000.0,2729.957
1015.0,162.637
895.0,0.0
13702.0,1596.168
895.0,108.046
895.0,0.0
1015.0,162.637
895.0,108.046
866.0,16.0
895.0,108.046
895.0,0.0
895.0,108.046
835.0,166.667
895.0,142.857
895.0,1012.0
895.0,0.0
895.0,0.0
895.0,0.0
1000000.0,195.804
895.0,0.0
1775.0,832.168
895.0,108.046
866.0,16.0
1015.0,162.637
929.0,59.333
895.0,0.0
1015.0,162.637
1000000.0,289.027
1015.0,162.637
459.0,4060.455
453.0,4060.455
441.0,4060.455
417.0,4060.455
369.0,4060.455
273.0,4060.455
81.0,4060.455
794.0,4060.455
87.0,4060.455
75.0,4060.455
63.0,4060.455
39.0,4060.455
0.0,4060.455
150.0,4060.455
0.0,4060.455
0.0,4060.455
459.0,4060.455
459.0,4060.455
1000000.0,1308.977
447.0,1308.977
423.0,1406.02
375.0,1600.106
279.0,1988.278
32469.0,2769.623
291.0,1939.757
267.0,2036.8
243.0,2133.843
195.0,2327.929
32609.0,2717.351
207.0,2279.407
183.0,2376.45
159.0,2473.494
111.0,2667.58
114611.0,3104.502
123.0,2619.058
32609.0,2717.351
480.0,1540.455
1000000.0,1540.455
1000000.0,1309.406
459.0,1309.406
459.0,1282.142
459.0,1282.142
459.0,4060.455
459.0,4060.455
459.0,4260.455
459.0,4260.455
459.0,4260.455
459.0,4260.455
1000000.0,1281.241
515.0,1281.241
459.0,1860.455
1000000.0,1860.455
1000000.0,1297.845
459.0,1297.845
459.0,4260.455
481.0,4260.455
459.0,4260.455
459.0,4260.455
459.0,2260.455
459.0,2260.455
459.0,2260.455
459.0,2260.455
1000000.0,1288.5
459.0,1288.5
459.0,1393.789
1000000.0,1393.789
1000000.0,1347.412
459.0,1347.412
459.0,2260.455
459.0,2260.455
459.0,2260.455
459.0,2260.455
459.0,1276.455
459.0,1276.455
459.0,2260.455
459.0,2260.455
1000000.0,1307.459
459.0,1307.459
459.0,1427.122
459.0,1093.789
1000000.0,1093.789
459.0,1260.455
459.0,927.122
1000000.0,1260.455
459.0,1093.789
1000000.0,1093.789
459.0,1152.409
1000000.0,1368.501
1000000.0,1260.455
459.0,1260.455
459.0,1964.741
459.0,1964.741
459.0,2260.455
459.0,2260.455
459.0,2260.455
459.0,2260.455
463.0,2260.455
459.0,2260.455
1000000.0,1329.084
459.0,1329.084
459.0,1427.122
1000000.0,1427.122
1000000.0,1403.312
459.0,1403.312
459.0,2260.455
459.0,2260.455
459.0,2260.455
459.0,2260.455
459.0,1290.122
459.0,1290.122
487.0,3460.455
459.0,3460.455
459.0,1212.269
459.0,1115.896
791.0,923.151
459.0,1067.71
765.0,971.338
569.0,1019.524
459.0,1115.896
459.0,1667.122
1000000.0,1667.122
459.0,971.429
1000000.0,1549.482
1000000.0,1260.455
459.0,1260.455
459.0,3262.122
459.0,3262.122
459.0,2272.455
459.0,2272.455
1135.0,188.015
895.0,1200.0
895.0,0.0
6849.0,2454.737
895.0,0.0
1000000.0,616.092
895.0,108.046
1000000.0,853.55
835.0,333.333
895.0,108.046
895.0,0.0
869.0,381.52
13702.0,1596.168
1000000.0,486.775
955.0,547.004
1310.0,1382.637
1000000.0,688.406
895.0,834.406
895.0,108.046
1015.0,162.637
895.0,130.12
1000000.0,676.323
871.0,205.089
835.0,333.333
866.0,16.0
866.0,16.0
895.0,108.046
1000000.0,336.55
1000000.0,470.591
835.0,333.333
1015.0,162.637
895.0,108.046
763.0,624.463
895.0,0.0
895.0,0.0
835.0,333.333
745.0,608.046
1000000.0,2729.957
1000000.0,676.323
895.0,2001.667
895.0,108.046
895.0,0.0
866.0,16.0
895.0,0.0
895.0,0.0
895.0,0.0
1000000.0,648.276
895.0,86.957
1000000.0,756.71
866.0,16.0
459.0,1246.008
895.0,0.0
1000000.0,887.578
1015.0,162.637
1000000.0,289.027
912.0,1004.793
806.0,349.333
922.0,381.333
341.0,1544.36
895.0,0.0
866.0,16.0
1000000.0,448.351
1000000.0,714.286
1015.0,162.637
895.0,704.286
895.0,0.0
1015.0,162.637
1015.0,162.637
1015.0,162.637
1000000.0,451.579
1015.0,249.384
1015.0,336.131
1000000.0,285.714
1000000.0,189.913
835.0,333.333
1000000.0,648.276
895.0,0.0
903.0,708.571
895.0,0.0
895.0,0.0
895.0,0.0
459.0,1260.455
895.0,112.169
1000000.0,195.002
1135.0,188.015
922.0,381.333
895.0,0.0
1015.0,162.637
1015.0,162.637
835.0,333.333
1000000.0,129.902
895.0,0.0
835.0,333.333
912.0,29.667
1015.0,162.637
895.0,112.18
1000000.0,433.22
895.0,346.988
895.0,0.0
895.0,0.0
0.0,4060.455
0.0,4060.455
0.0,6860.455
0.0,6860.455
1000000.0,4108.977
4659.0,4108.977
12.0,4340.455
1000000.0,4340.455
1000000.0,4109.406
42.0,4109.406
0.0,4082.142
0.0,4082.142
0.0,6860.455
0.0,6860.455
0.0,7060.455
0.0,7060.455
0.0,7060.455
0.0,7060.455
1000000.0,4081.241
56.0,4081.241
0.0,4660.455
1000000.0,4660.455
1000000.0,4097.845
0.0,4097.845
0.0,7060.455
32.0,7060.455
0.0,7060.455
0.0,7060.455
0.0,5060.455
0.0,5060.455
0.0,5060.455
0.0,5060.455
1000000.0,4088.5
0.0,4088.5
0.0,4193.789
1000000.0,4193.789
1000000.0,4147.412
0.0,4147.412
0.0,5060.455
0.0,5060.455
0.0,5060.455
0.0,5060.455
0.0,4076.455
0.0,4076.455
0.0,5060.455
0.0,5060.455
1000000.0,4107.459
0.0,4107.459
0.0,4227.122
0.0,3893.789
1000000.0,3893.789
0.0,4060.455
0.0,3727.122
1000000.0,4060.455
0.0,3893.789
1000000.0,3893.789
0.0,3952.409
1000000.0,4168.501
1000000.0,4060.455
0.0,4060.455
0.0,4764.741
0.0,4764.741
0.0,5060.455
0.0,5060.455
0.0,5060.455
0.0,5060.455
4.0,5060.455
0.0,5060.455
1000000.0,4129.084
0.0,4129.084
0.0,4227.122
1000000.0,4227.122
1000000.0,4203.312
0.0,4203.312
0.0,5060.455
0.0,5060.455
0.0,5060.455
0.0,5060.455
0.0,4090.122
0.0,4090.122
28.0,6260.455
0.0,6260.455
0.0,4012.269
0.0,3915.896
332.0,3723.151
0.0,3867.71
306.0,3771.338
110.0,3819.524
0.0,3915.896
0.0,4467.122
1000000.0,4467.122
0.0,3771.429
1000000.0,4349.482
1000000.0,4060.455
0.0,4060.455
0.0,6062.122
0.0,6062.122
0.0,5072.455
0.0,5072.455
895.0,0.0
835.0,333.333
1000000.0,1206.447
111.0,2841.074
835.0,166.667
111.0,2667.58
895.0,0.0
895.0,0.0
878.0,29.667
946.0,133.333
997.0,178.0
866.0,16.0
1000000.0,934.969
835.0,333.333
1000000.0,28.045
866.0,16.0
895.0,0.0
866.0,16.0
1000000.0,238.931
895.0,0.0
1000000.0,436.502
912.0,29.667
583.0,1352.285
1000000.0,937.247
924.0,16.0
895.0,137.258
895.0,86.747
459.0,1260.455
895.0,0.0
866.0,16.0
1497.0,614.741
895.0,0.0
763.0,624.463
140340.0,2258.735
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
459.0,971.429
835.0,333.333
895.0,0.0
459.0,1152.409
1000000.0,191.145
835.0,333.333
745.0,608.046
916.0,622.657
895.0,0.0
835.0,333.333
459.0,1260.455
895.0,0.0
895.0,293.706
895.0,0.0
835.0,401.962
895.0,0.0
1000000.0,578.053
895.0,1024.0
1000000.0,476.692
895.0,0.0
895.0,0.0
835.0,333.333
111.0,2667.58
835.0,333.333
895.0,0.0
459.0,1474.377
895.0,0.0
946.0,89.0
1000000.0,498.859
459.0,927.122
895.0,0.0
459.0,1559.076
895.0,0.0
0.0,4227.122
866.0,16.0
895.0,0.0
679.0,873.388
835.0,333.333
861.0,59.333
866.0,16.0
895.0,0.0
895.0,0.0
895.0,0.0
837.0,32.0
895.0,0.0
1000000.0,636.364
895.0,0.0
835.0,166.667
895.0,0.0
835.0,166.667
459.0,971.429
1000000.0,428.571
866.0,16.0
1000000.0,420.675
895.0,0.0
866.0,16.0
895.0,0.0
866.0,16.0
2999.0,1985.186
835.0,166.667
155430.0,2402.867
900.0,75.333
0.0,3727.122
0.0,3727.122
0.0,6527.122
0.0,6527.122
1000000.0,3775.644
4659.0,3775.644
12.0,4007.122
1000000.0,4007.122
1000000.0,3776.073
42.0,3776.073
0.0,3748.809
0.0,3748.809
0.0,6527.122
0.0,6527.122
0.0,6727.122
0.0,6727.122
0.0,6727.122
0.0,6727.122
1000000.0,3747.908
56.0,3747.908
0.0,4327.122
1000000.0,4327.122
1000000.0,3764.512
0.0,3764.512
0.0,6727.122
32.0,6727.122
0.0,6727.122
0.0,6727.122
0.0,4727.122
0.0,4727.122
0.0,4727.122
0.0,4727.122
1000000.0,3755.167
0.0,3755.167
0.0,3860.455
1000000.0,3860.455
1000000.0,3814.079
0.0,3814.079
0.0,4727.122
0.0,4727.122
0.0,4727.122
0.0,4727.122
0.0,3743.122
0.0,3743.122
0.0,4727.122
0.0,4727.122
1000000.0,3774.126
0.0,3774.126
0.0,3893.789
1000000.0,3893.789
0.0,3619.076
1000000.0,3835.168
1000000.0,3727.122
0.0,3727.122
0.0,4431.408
0.0,4431.408
0.0,4727.122
0.0,4727.122
0.0,4727.122
0.0,4727.122
4.0,4727.122
0.0,4727.122
1000000.0,3795.751
0.0,3795.751
0.0,3893.789
1000000.0,3893.789
1000000.0,3869.979
0.0,3869.979
0.0,4727.122
0.0,4727.122
0.0,4727.122
0.0,4727.122
0.0,3756.789
0.0,3756.789
28.0,5927.122
0.0,5927.122
0.0,3678.936
0.0,3582.563
332.0,3389.818
0.0,3534.377
116.0,3438.004
0.0,3486.191
332.0,3389.818
116.0,3438.004
0.0,3534.377
0.0,4133.789
1000000.0,4133.789
0.0,3438.095
1000000.0,4016.149
1000000.0,3727.122
0.0,3727.122
0.0,5728.789
0.0,5728.789
0.0,4739.122
0.0,4739.122
866.0,16.0
1000000.0,845.048
111.0,2841.074
861.0,59.333
866.0,16.0
866.0,16.0
459.0,1067.71
835.0,333.333
459.0,1260.455
459.0,594.236
745.0,500.0
835.0,401.962
133146.0,1338.422
767.0,397.834
866.0,16.0
158291.0,2643.442
1000000.0,937.449
835.0,333.333
1000000.0,594.053
532.0,1441.285
895.0,0.0
895.0,0.0
1498.0,345.026
459.0,1260.455
583.0,1526.198
835.0,166.667
1011.0,1236.0
1000000.0,1175.085
910.0,1008.046
459.0,971.429
835.0,333.333
1000000.0,1200.414
835.0,166.667
866.0,16.0
866.0,296.45
1000000.0,53.39
111.0,2667.58
871.0,205.089
866.0,1028.0
866.0,16.0
0.0,3964.083
577.0,1072.128
866.0,16.0
871.0,205.089
871.0,205.089
835.0,333.333
459.0,1260.455
898.0,1173.333
866.0,16.0
0.0,3727.122
866.0,16.0
140400.0,1672.997
130308.0,4649.562
459.0,1559.076
1000000.0,553.623
835.0,166.667
835.0,333.333
710.0,646.78
835.0,333.333
835.0,333.333
835.0,333.333
835.0,333.333
111.0,2667.58
835.0,333.333
1000000.0,1176.007
866.0,16.0
111.0,2736.209
139558.0,5010.127
835.0,166.667
835.0,166.667
459.0,1152.409
924.0,16.0
861.0,59.333
459.0,971.429
0.0,3867.71
895.0,0.0
1000000.0,524.377
835.0,333.333
869.0,632.667
767.0,829.333
835.0,361.378
835.0,401.962
1000000.0,1176.192
1000000.0,1012.299
866.0,16.0
583.0,1352.285
745.0,608.046
111.0,3227.58
835.0,333.333
801.0,226.0
1000000.0,380.337
1000000.0,2137.472
835.0,166.667
835.0,166.667
0.0,3867.71
869.0,381.52
570.0,652.118
138181.0,10088.734
835.0,401.962
866.0,16.0
0.0,3438.095
0.0,3438.095
0.0,6238.095
0.0,6238.095
1000000.0,3486.617
4659.0,3486.617
12.0,3718.095
1000000.0,3718.095
1000000.0,3487.046
42.0,3487.046
0.0,3459.782
0.0,3459.782
0.0,6238.095
0.0,6238.095
0.0,6438.095
0.0,6438.095
0.0,6438.095
0.0,6438.095
1000000.0,3458.881
56.0,3458.881
0.0,4038.095
1000000.0,4038.095
1000000.0,3475.485
0.0,3475.485
0.0,6438.095
32.0,6438.095
0.0,6438.095
0.0,6438.095
0.0,4438.095
0.0,4438.095
0.0,4438.095
0.0,4438.095
1000000.0,3466.14
0.0,3466.14
0.0,3571.429
1000000.0,3571.429
1000000.0,3525.052
0.0,3525.052
0.0,4438.095
0.0,4438.095
0.0,4438.095
0.0,4438.095
0.0,3454.095
0.0,3454.095
0.0,4438.095
0.0,4438.095
1000000.0,3485.099
0.0,3485.099
0.0,3604.762
1000000.0,3604.762
0.0,3330.049
1000000.0,3546.141
1000000.0,3438.095
0.0,3438.095
0.0,4142.381
0.0,4142.381
0.0,4438.095
0.0,4438.095
0.0,4438.095
0.0,4438.095
4.0,4438.095
0.0,4438.095
1000000.0,3506.724
0.0,3506.724
0.0,3604.762
1000000.0,3604.762
1000000.0,3580.952
0.0,3580.952
0.0,4438.095
0.0,4438.095
0.0,4438.095
0.0,4438.095
0.0,3467.762
0.0,3467.762
28.0,5638.095
0.0,5638.095
0.0,3389.909
0.0,3293.536
332.0,3100.791
0.0,3245.35
116.0,3148.977
0.0,3197.164
332.0,3100.791
